time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,skin_blood_flow_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,alpha_dot_1_s,C_core_J_K,C_skin_J_K,G_cs_W_m2K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_out_W_m2K,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,mass_redistribution_correction_W,energy_balance_residual_J
0.0,37.0,37.0,37.0,37.0,37.0,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.0,7.0840000000000005,7.252000000000001,14.336000000000002,0.0,0.0,0.0,532.1838710020842,3.0,7.0501707976434105,2400.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
5.0,37.00258259923087,36.99994847742842,36.757725492602084,35.94964795883707,34.25818330852636,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.03320811015132281,7.0840000000000005,7.252000000000001,14.336000000000002,0.7156189558953249,95.28775542662608,273.71602990186557,508.6930454600884,3.0,6.98655427326292,2400.0,0.0,0.0,-0.0,-0.0,-0.0,3.1644440241507255e-05
10.0,37.0051635630232,36.99950685921243,36.0110111708454,34.653800932013134,32.65204896653071,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.0713134992720158,7.0840000000000005,7.252000000000001,14.336000000000002,2.9203927650524895,160.04097613975856,323.92731396394237,495.0298649851009,3.0,6.948465792323182,2400.0,0.0,0.0,-0.0,-0.0,-0.0,3.0466039788734633e-05
15.0,37.007742570735054,36.99839333862206,35.036135192184,33.46388517548219,31.375131874691107,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.1178648343253263,7.0840000000000005,7.252000000000001,14.336000000000002,5.797257956167478,185.39826786541556,338.00603567560927,484.2197265659778,3.0,6.917731282910428,2400.0,0.0,0.0,-0.0,-0.0,-0.0,6.797286550863646e-05
20.0,37.01031919382051,36.996502376386296,33.987703179085116,32.34005049952526,30.238397565949224,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.1741872357113579,7.0840000000000005,7.252000000000001,14.336000000000002,8.889138830549467,194.28968013306957,340.0934788110251,474.6359826961234,3.0,6.890021955022161,2400.0,0.0,0.0,-0.0,-0.0,-0.0,9.248492642655037e-05
25.0,37.012892968973404,36.993807814807816,32.92755168545755,31.259186678707174,29.172511681847354,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.2406046300501441,7.0840000000000005,7.252000000000001,14.336000000000002,12.013269375632934,196.7320585994665,337.669720576804,465.6838974509124,3.0,6.863732404740262,2400.0,0.0,0.0,-0.0,-0.0,-0.0,0.00012496502677095123
30.0,37.01546342836356,36.990314528049375,31.879455659840964,30.211502249310733,28.150103585152294,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.3170496713709064,7.0840000000000005,7.252000000000001,14.336000000000002,15.09942373808133,196.68352355385383,333.57945629831033,457.1285681540213,3.0,6.838228160454025,2400.0,0.0,0.0,-0.0,-0.0,-0.0,0.00010557016867096536
35.0,37.01803011127314,36.986039113975544,30.852244943615627,29.192697923760072,27.160035993293977,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.4033073038310857,7.0840000000000005,7.252000000000001,14.336000000000002,18.121564239730965,195.69224974019266,328.9292233435921,448.8736832862282,3.0,6.813255682567828,2400.0,0.0,0.0,-0.0,-0.0,-0.0,0.00012297175271669403
40.0,37.020592568399,36.98100233487638,29.84891815845496,28.20064575245059,26.197523969349003,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.4991101149963675,7.0840000000000005,7.252000000000001,14.336000000000002,21.07089314974612,194.36275770224944,324.148980458916,440.8769958842366,3.0,6.78871213455183,2400.0,0.0,0.0,-0.0,-0.0,-0.0,0.00018771050235955045
45.0,37.023150363287606,36.97522617496232,28.870207225238723,27.234080285361905,25.260280917307284,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.6041754497980046,7.0840000000000005,7.252000000000001,14.336000000000002,23.94531304480253,192.93057556928943,319.40397143238033,433.1174959512662,3.0,6.764554370277417,2400.0,0.0,0.0,-0.0,-0.0,-0.0,0.0002389438777754549
50.0,37.02570307265667,36.96873270238647,27.91597016537363,26.292088353876498,24.347010023928615,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.7182197609593847,7.0840000000000005,7.252000000000001,14.336000000000002,26.74530858147168,191.48664135573114,314.756278367206,425.5826096212529,3.0,6.740762875906418,2400.0,0.0,0.0,-0.0,-0.0,-0.0,0.00019785017502726987
55.0,37.02825028640093,36.96154493158114,26.994624359816633,25.433618943669025,23.472302880305946,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.8409477376776806,7.0840000000000005,7.252000000000001,14.336000000000002,29.446079603764794,184.0723149676949,317.38389930164044,418.39034682500915,3.0,6.717737367621818,3200.257532924538,0.001688538100279732,94.22463143253644,-0.0,-0.0,-0.0,-0.03609997643798124
60.0,37.03079161388871,36.95371311394412,26.167568559347043,24.761258713017817,22.72505603993247,6.3,6.3,6.3,0.0,173.0,0.15000001367134336,-0.0,177989.99713722072,31410.0028627793,12.6069,0.9717209409514619,7.0840000000000005,7.252000000000001,14.336000000000002,31.866379277882746,165.8307564457584,329.50219305506,412.265267613257,3.0,6.69787782778605,4944.773407940105,0.010416505614751366,581.2669564295262,-0.0,-0.0,-0.0,-0.16153135326021584
