case_id,model_name,model_variant,tau_blood_flow_s,parameter,scenario,parameter_value,unit,relative_to_baseline,t15_s,t10_s,delta_t15_pct,delta_t10_pct,T_core_at_t15_C,T_core_at_t10_C,T_pcm_at_t15_C,T_pcm_at_t10_C,skin_blood_flow_at_t15,skin_blood_flow_eq_at_t15,skin_blood_flow_at_t10,skin_blood_flow_eq_at_t10,alpha_skin_at_t15,alpha_skin_at_t10,pcm_phase_fraction_at_t15,pcm_phase_fraction_at_t10,max_abs_energy_balance_residual_J,relative_energy_balance_error,central_sensitivity_t15,central_sensitivity_t10
baseline,Model 6 - Dynamic SBF,dynamic_sbf,173.0,baseline,baseline,,mixed,1.0,40717.233313052486,60010.271338409155,0.0,0.0,26.511009754933312,21.036406576762147,-19.3794186132916,-21.02098248229898,0.6101405097658753,0.608695652173913,0.5000000177541564,0.5,0.6650672629720803,0.7283147140167727,1.0,1.0,0.7949241274327505,1.5034174450128387e-07,,
Tskin_33p7,Model 6 - Dynamic SBF,dynamic_sbf,173.0,T_skin_initial,alternative,33.7,degC,0.9108108108108108,39924.26857267132,59216.96950165176,-1.9474917027993957,-1.321943425790927,26.51067701466916,21.03640189411529,-19.379416942421397,-21.020982456937386,0.6101406174978785,0.608695652173913,0.5000000177545625,0.5,0.6650672068069375,0.728314714016516,1.0,1.0,1.2767429523373721,2.462950283203159e-07,,
M0_minus10,Model 6 - Dynamic SBF,dynamic_sbf,173.0,M0,minus10%,63.0,W/m2,0.9,37347.60812629009,54154.411201307084,-8.275673253276306,-9.758096416661372,25.90946485206668,20.354014579918765,-19.376496337320646,-21.01749743942592,0.6103317776919024,0.608695652173913,0.5000000876375654,0.5,0.6649675630440353,0.7283146698145698,1.0,1.0,1.1635100492858328,2.1844796304247626e-07,0.9244255016588997,1.1126532158008313
M0_plus10,Model 6 - Dynamic SBF,dynamic_sbf,173.0,M0,plus10%,77.0,W/m2,1.1,44875.61789260629,67508.53547845937,10.21283677990169,12.494967899355254,27.122801865866915,21.72679013485933,-19.382325513250418,-21.024518364319473,0.6099505146365116,0.608695652173913,0.5000000019890672,0.5,0.6651663310324704,0.7283147239884061,1.0,1.0,1.2095840358670102,2.3047669023255887e-07,0.9244255016588997,1.1126532158008313
beta_minus10,Model 6 - Dynamic SBF,dynamic_sbf,173.0,beta_DSC,minus10%,9.0,K/min,0.9,40730.98819335623,60024.03081044563,0.03378147085286666,0.02292852828290019,26.51101428634448,21.036406639793313,-19.379418636047124,-21.020982482648584,0.6101405082987413,0.608695652173913,0.5000000177542173,0.5,0.6650672637369579,0.7283147140167343,1.0,1.0,1.5724569365847856,2.970459902970491e-07,-0.003071568103893001,-0.0020847699310786493
beta_plus10,Model 6 - Dynamic SBF,dynamic_sbf,173.0,beta_DSC,plus10%,11.0,K/min,1.1,40705.9750423316,59999.00928859719,-0.027649891224993367,-0.018766870338672796,26.511006028995027,21.03640652753792,-19.379418594583147,-21.020982481979473,0.6101405109722218,0.608695652173913,0.5000000177538698,0.5,0.6650672623431619,0.7283147140169541,1.0,1.0,1.0645727617957164,2.0153298290404551e-07,-0.003071568103893001,-0.0020847699310786493
hin_minus10,Model 6 - Dynamic SBF,dynamic_sbf,173.0,h_in,minus10%,2.7,W/(m2 K),0.9,47256.29609349419,70152.54117143217,16.0596932757352,16.900889809060942,26.163953481771173,20.76563778042354,-20.505202868531992,-22.05150958556141,0.6099295463420181,0.608695652173913,0.5000000016109821,0.5,0.6651772663384806,0.7283147242275501,1.0,1.0,0.8799854289391078,1.6583001210910792e-07,-1.3816733644955932,-1.4413496189386643
hin_plus10,Model 6 - Dynamic SBF,dynamic_sbf,173.0,h_in,plus10%,3.3,W/(m2 K),1.0999999999999999,36004.71274457473,52853.38482622779,-11.573774014176667,-11.926102569712345,26.83505755994589,21.29239290625848,-18.33898864029308,-20.069248098278145,0.6103358941817479,0.608695652173913,0.5000000887779946,0.5,0.6649654176415684,0.728314669093233,1.0,1.0,0.822269154159585,1.560440477136316e-07,-1.3816733644955932,-1.4413496189386643
hout_minus10,Model 6 - Dynamic SBF,dynamic_sbf,173.0,lambda_out,minus10%,0.9,1,0.9,43691.833886317625,64632.60510084305,7.305507597716835,7.70257100883229,26.339760310969602,20.89969316704532,-18.23976445683739,-19.978751531045855,0.6100359592769439,0.608695652173913,0.5000000058932603,0.5,0.665121774231809,0.7283147215189509,1.0,1.0,1.3436740994948195,2.5392880778693655e-07,-0.6492920713000752,-0.6812810292422341
hout_plus10,Model 6 - Dynamic SBF,dynamic_sbf,173.0,lambda_out,plus10%,1.1,1,1.1,38404.35853522957,56455.833216335624,-5.68033382828467,-5.923049576012394,26.661323334705518,21.157278559424697,-20.381547962346364,-21.938225339452842,0.6102320584549716,0.608695652173913,0.5000000405465569,0.5,0.6650195385096147,0.7283146996002701,1.0,1.0,1.8215458202612353,3.447404959027738e-07,-0.6492920713000752,-0.6812810292422341
