case_id,parameter,scenario,parameter_value,unit,relative_to_baseline,t15_reached,t15_s,t15_min,t10_reached,t10_s,t10_min,delta_t15_pct,delta_t10_pct,T_core_at_t15_C,T_core_at_t10_C,T_pcm_at_t15_C,T_pcm_at_t10_C,pcm_phase_fraction_at_t15,pcm_phase_fraction_at_t10,skin_blood_flow_at_t15,skin_blood_flow_eq_at_t15,skin_blood_flow_at_t10,alpha_skin_at_t15,alpha_skin_at_t10,max_abs_energy_balance_residual_J,relative_energy_balance_error
wind_speed_minus10,wind_speed,minus10,2.7,m/s,0.9,True,17822.2957999,297.038263332,True,26701.9686254,445.032810424,1.46262888827,1.46142593958,31.6856181239,26.2062822578,-29.8857973963,-30.8033970393,1,1,0.611795854684,0.608695652174,0.500017781846,0.664205456462,0.728303478171,0.981012729142,1.95122569298e-07
wind_speed_baseline,wind_speed,baseline,3,m/s,1,True,17565.3794852,292.756324754,True,26317.3599012,438.62266502,0,0,31.7322096818,26.2601527816,-30.2481504047,-31.1329071842,1,1,0.611842342681,0.608695652174,0.500019290873,0.66418128826,0.728302523724,1.91478269565,3.80992897612e-07
wind_speed_plus10,wind_speed,plus10,3.3,m/s,1.1,True,17346.5562617,289.109271029,True,25989.8662473,433.164437455,-1.24576428143,-1.24440162361,31.772398578,26.3070447735,-30.5645926267,-31.4206679894,1,1,0.611883058773,0.608695652174,0.500020677006,0.664160122301,0.728301647008,2.1754527883,4.33002135305e-07
h_in_minus10,h_in,minus10,3.6,W/(m2 K),0.9,True,20392.0194092,339.866990153,True,30597.7072058,509.961786763,16.092108493,16.2643491621,31.2391076017,25.7164794977,-31.0274854131,-31.8418173578,1,1,0.611386361436,0.608695652174,0.500007656415,0.664418425117,0.728309882494,1.94612893245,3.8466203977e-07
h_in_baseline,h_in,baseline,4,W/(m2 K),1,True,17565.3794852,292.756324754,True,26317.3599012,438.62266502,0,0,31.7322096818,26.2601527816,-30.2481504047,-31.1329071842,1,1,0.611842342681,0.608695652174,0.500019290873,0.66418128826,0.728302523724,1.91478269565,3.80992897612e-07
h_in_plus10,h_in,plus10,4.4,W/(m2 K),1.1,True,15490.9974386,258.183290644,True,23183.0073584,386.383455973,-11.8094917811,-11.9098289288,32.1492523028,26.7636336991,-29.5021305217,-30.454309098,1,1,0.61229136758,0.608695652174,0.500038082125,0.66394794556,0.728290638629,1.77923774328,3.56232245115e-07
metabolic_rate_minus10,metabolic_rate,minus10,83.7,W/m2,0.9,True,16760.0467321,279.334112201,True,24814.0717145,413.567861908,-4.58477287015,-5.71215422969,30.9460819743,25.3850121653,-30.2472903517,-31.1319576756,1,1,0.612097384948,0.608695652174,0.500029707168,0.664048730151,0.728295935573,2.38366735191,4.69638618157e-07
metabolic_rate_baseline,metabolic_rate,baseline,93,W/m2,1,True,17565.3794852,292.756324754,True,26317.3599012,438.62266502,0,0,31.7322096818,26.2601527816,-30.2481504047,-31.1329071842,1,1,0.611842342681,0.608695652174,0.500019290873,0.66418128826,0.728302523724,1.91478269565,3.80992897612e-07
metabolic_rate_plus10,metabolic_rate,plus10,102.3,W/m2,1.1,True,18478.6930645,307.978217741,True,28059.3806256,467.65634376,5.19950952378,6.61928373876,32.5404972315,27.1495892361,-30.2490112092,-31.1338784175,1,1,0.611587475536,0.608695652174,0.500011622448,0.664313811779,0.728307373969,2.48861230758,5.00204696425e-07
beta_DSC_minus10,beta_DSC,minus10,9,K/min,0.9,True,17569.6629936,292.82771656,True,26321.7061451,438.695102419,0.0243860848496,0.0165147414406,31.7323650719,26.2601753712,-30.2481505741,-31.1329072099,1,1,0.611842291587,0.608695652174,0.500019290796,0.664181314822,0.728302523772,1.76051779333,3.49866578524e-07
beta_DSC_baseline,beta_DSC,baseline,10,K/min,1,True,17565.3794852,292.756324754,True,26317.3599012,438.62266502,0,0,31.7322096818,26.2601527816,-30.2481504047,-31.1329071842,1,1,0.611842342681,0.608695652174,0.500019290873,0.66418128826,0.728302523724,1.91478269565,3.80992897612e-07
beta_DSC_plus10,beta_DSC,plus10,11,K/min,1.1,True,17561.8762766,292.697937944,True,26313.8053198,438.563421996,-0.0199438252704,-0.013506603359,31.7320824349,26.2601342764,-30.248150266,-31.1329071641,1,1,0.611842384522,0.608695652174,0.500019291233,0.664181266509,0.728302523496,0.78513067204,1.56378784027e-07
tau_blood_flow_lower_reference,tau_blood_flow,lower_reference,60,s,0.346820809249,True,17572.5328862,292.875548104,True,26296.7388237,438.278980395,0.0407244317502,-0.0783554184514,31.7402482562,26.2724383519,-30.2481475186,-31.1328622848,1,1,0.609777002193,0.608695652174,0.500000001875,0.665256832138,0.728314724061,1.91478269565,3.81042752026e-07
tau_blood_flow_baseline,tau_blood_flow,baseline,173,s,1,True,17565.3794852,292.756324754,True,26317.3599012,438.62266502,0,0,31.7322096818,26.2601527816,-30.2481504047,-31.1329071842,1,1,0.611842342681,0.608695652174,0.500019290873,0.66418128826,0.728302523724,1.91478269565,3.80992897612e-07
tau_blood_flow_upper_reference,tau_blood_flow,upper_reference,200,s,1.15606936416,True,17563.7965924,292.729943206,True,26322.1064228,438.701773713,-0.00901143571618,0.0180357057428,31.7301305409,26.2573272353,-30.2481510063,-31.132937931,1,1,0.612341607632,0.608695652174,0.500040181309,0.663921848426,0.728289310962,1.91478269565,3.80984112885e-07
