case_id,parameter,scenario,parameter_value,time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,d_alpha_skin_dt_1_s,C_core_J_K,C_skin_J_K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_nat_W_m2K,h_forced_W_m2K,h_out_W_m2K,wind_speed_m_s,metabolic_rate_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,energy_balance_residual_J
wind_speed_minus10,wind_speed,minus10,2.7,0,37,37,37,37,37,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,0,9.4116,9.6348,19.0464,0,0,0,1448.94213636,4,7.05017079764,19.8823288374,19.8823288374,2.7,93,2400,0,0,-0,-0,0
wind_speed_minus10,wind_speed,minus10,2.7,30,37.0205243499,36.9680085143,25.4486743176,22.9629992296,17.0645715364,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,0.66206188864,9.4116,9.6348,19.0464,45.1478227881,293.108507484,954.494798671,1073.8085999,4,6.54136822852,19.8823288374,19.8823288374,2.7,93,14488.5620904,0.111363244785,6214.3464179,-0,-0,0.226424801658
wind_speed_minus10,wind_speed,minus10,2.7,60,37.0407535747,36.8815846784,20.4562164894,18.9134667942,13.2067570381,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,2.00662635877,9.4116,9.6348,19.0464,64.3760828159,181.919617236,923.470637093,1001.21444431,4,6.42789323102,19.8823288374,19.8823288374,2.7,93,17623.1480305,0.701966166844,39171.4604119,-0,-0,-0.887477520999
wind_speed_minus10,wind_speed,minus10,2.7,90,37.0605646434,36.7680904127,13.6045504626,10.1321931114,6.09805533793,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,3.68719337994,9.4116,9.6348,19.0464,90.7850557121,409.457167428,652.811854639,867.446945239,4,6.20151228393,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,-0,-0,-0.297009633301
wind_speed_minus10,wind_speed,minus10,2.7,120,37.0798207754,36.6014945348,3.89358226233,0.735105038075,-2.66324456398,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,6.0302110825,9.4116,9.6348,19.0464,128.192393921,372.44471315,549.927402339,702.581794626,4,5.88316597515,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,-0,-0,-0.29699116142
wind_speed_minus10,wind_speed,minus10,2.7,150,37.0983387311,36.3881009508,-3.34959799206,-6.20603270981,-9.10027340558,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,8.95389667225,9.4116,9.6348,19.0464,155.744295568,336.828140128,468.351539406,581.453452788,4,5.61132749479,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,-0,-0,-0.29698214549
wind_speed_minus10,wind_speed,minus10,2.7,180,37.1159836644,36.1423628715,-8.7215073654,-11.3522000874,-13.8720828819,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,12.2743399736,9.4116,9.6348,19.0464,175.835341563,310.208852769,407.772231117,491.660260361,4,5.38087811202,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,-0,-0,-0.296980635118
wind_speed_minus10,wind_speed,minus10,2.7,210,37.1326649512,35.8749471651,-12.7101765968,-15.1717524358,-17.4132836309,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,15.8559223577,9.4116,9.6348,19.0464,190.420081603,290.26674634,362.728845378,425.023961939,4,5.188481011,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,-0,-0,-0.296979562991
wind_speed_minus10,wind_speed,minus10,2.7,240,37.1483244245,35.5936749805,-15.6763365697,-18.0106924136,-20.0448512929,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,19.5993100754,9.4116,9.6348,19.0464,200.94298475,275.265082167,329.171462453,375.504620767,4,5.03026308202,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,-0,-0,-0.296978771396
wind_speed_minus10,wind_speed,minus10,2.7,270,37.16292766,35.3042663936,-17.8865285288,-20.1246771288,-22.0039501977,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,23.4319567195,9.4116,9.6348,19.0464,208.471127073,263.920412954,304.107545734,338.639413593,4,4.90197682425,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,-0,-0,-0.296978187922
