time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,d_alpha_skin_dt_1_s,C_core_J_K,C_skin_J_K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_nat_W_m2K,h_forced_W_m2K,h_out_W_m2K,wind_speed_m_s,metabolic_rate_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,energy_balance_residual_J
0,37,37,37,37,37,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,0,9.4116,9.6348,19.0464,0,0,0,1522.90695055,4,7.05017079764,20.9578147716,20.9578147716,3,93,2400,0,0,-0,-0,0
5,37.0034311499,36.9997975873,36.322169052,34.0769702731,29.4326787616,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,0.0458079603805,9.4116,9.6348,19.0464,2.65583518168,264.751763515,751.548094136,1373.24037768,4,6.87017717617,20.9578147716,20.9578147716,3,93,2400,0,0,-0,-0,0.00392119071512
10,37.0068598206,36.9981486434,34.2871231626,30.6165810544,25.2924904707,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,0.10982094018,9.4116,9.6348,19.0464,10.6253448237,432.826930673,861.55447419,1291.35568255,4,6.76538888615,20.9578147716,20.9578147716,3,93,2400,0,0,-0,-0,0.00421240954529
15,37.0102848427,36.9940891011,31.7066370972,27.5562756468,22.1460007084,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,0.204178094668,9.4116,9.6348,19.0464,20.7231548278,489.406783751,875.500990535,1229.12436919,4,6.68236591945,20.9578147716,20.9578147716,3,93,2400,0,0,-0,-0,0.00417650098461
20,37.0137047004,36.9873257232,29.0338387717,24.997044352,19.483579475,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,0.332557127763,9.4116,9.6348,19.0464,31.1721678794,476.015064516,892.199382856,1176.46696917,4,6.60961602722,20.9578147716,20.9578147716,3,93,4214.4624355,0.00623407933272,347.877153231,-0,-0,0.0093115924974
25,37.0171178399,36.97803796,26.8098745204,23.6533563968,17.6659154657,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,0.492676137903,9.4116,9.6348,19.0464,39.8521679476,372.213697813,968.899090279,1140.51718796,4,6.5585337055,20.9578147716,20.9578147716,3,93,10233.6719742,0.0552072224584,3080.70051111,-0,-0,-0.050952114645
30,37.0205229592,36.9668335813,25.182923773,22.7352662978,16.5331380595,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,0.676856617438,9.4116,9.6348,19.0464,46.184776194,288.625505745,1003.64019906,1118.11310243,4,6.52608506467,20.9578147716,20.9578147716,3,93,15846.9113725,0.135143901907,7541.36631295,-0,-0,-0.498026550013
35,37.0239191077,36.9542471189,23.974720821,21.9764364289,15.7181708822,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,0.878347794837,9.4116,9.6348,19.0464,50.8707658937,235.635847393,1012.72444517,1101.99467154,4,6.50243724921,20.9578147716,20.9578147716,3,93,19707.616594,0.231234356712,12903.4530119,-0,-0,-1.04039039864
40,37.0273055926,36.9406285317,23.0257602466,21.2897931243,15.0439723731,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,1.09272903917,9.4116,9.6348,19.0464,54.5366595614,204.703637535,1010.71060468,1088.6603651,4,6.4826772348,20.9578147716,20.9578147716,3,93,21924.7600677,0.335240835557,18707.2735677,-0,-0,-1.15347486483
45,37.0306818834,36.9261897768,22.2289897771,20.6341061301,14.4328669469,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,1.31732153869,9.4116,9.6348,19.0464,57.6028587884,188.067204617,1003.49633048,1076.57391444,4,6.46460895219,20.9578147716,20.9578147716,3,93,22683.4042219,0.442575396347,24696.809385,-0,-0,-1.06072225455
