lambda_pcm,improvement_pct,t15_min,gap_to_target_min,feasible,point_type
1,0,678.620566473,-56.1944010757,False,sample
1.25,25,679.136406553,-55.6785609958,False,sample
1.5,50,679.652292066,-55.1626754833,False,sample
2,100,680.683958597,-54.131008952,False,sample
3,200,682.747014912,-52.0679526374,False,sample
4,300,684.809308046,-50.0056595033,False,sample
5,400,686.871159154,-47.9438083952,False,sample
6,500,688.932283324,-45.882684225,False,sample
7,600,690.992671109,-43.8222964401,False,sample
8,700,693.052433895,-41.7625336539,False,sample
9,800,695.111480939,-39.7034866096,False,sample
10,900,697.169835772,-37.6451317768,False,sample
11,1000,699.22743975,-35.5875277992,False,sample
12,1100,701.284294759,-33.5306727904,False,sample
13,1200,703.340525429,-31.4744421197,False,sample
14,1300,705.395972804,-29.4189947454,False,sample
15,1400,707.45058216,-27.3643853893,False,sample
16,1500,709.504544441,-25.3104231084,False,sample
17,1600,711.557733004,-23.2572345449,False,sample
18,1700,713.610172355,-21.2047951939,False,sample
19,1800,715.661935511,-19.1530320384,False,sample
20,1900,717.712826078,-17.1021414711,False,sample
21,2000,719.763105416,-15.051862133,False,sample
22,2100,721.812573539,-13.0023940095,False,sample
23,2200,723.861343807,-10.9536237415,False,sample
24,2300,725.909372619,-8.90559492952,False,sample
25,2400,727.956651781,-6.85831576824,False,sample
26,2500,730.003175146,-4.81179240272,False,sample
26.5,2550,731.026194133,-3.78877341556,False,sample
27,2600,732.0490377,-2.76592984917,False,sample
27.5,2650,733.071677813,-1.74328973637,False,sample
28,2700,734.094163301,-0.720804248445,False,sample
28.1,2710,734.298651124,-0.516316424928,False,sample
28.2,2720,734.503105213,-0.311862336074,False,sample
28.3,2730,734.707548748,-0.10741880074,False,sample
28.352528404,2735.2528404,734.814967549,0,True,optimal
28.4,2740,734.911983124,0.0970155749311,True,sample
28.5,2750,735.116416639,0.301449089804,True,sample
28.75,2775,735.627507986,0.812540437486,True,sample
29,2800,736.138504236,1.32353668654,True,sample
29.5,2850,737.160455393,2.34548784372,True,sample
30,2900,738.182189272,3.36722172321,True,sample
31,3000,740.225156621,5.41018907253,True,sample
32,3100,742.267389141,7.45242159228,True,sample
33,3200,744.308956818,9.49398926882,True,sample
34,3300,746.349774555,11.5348070058,True,sample
35,3400,748.389904599,13.5749370503,True,sample
