case_id,parameter,scenario,parameter_value,unit,lambda_pcm_fixed,t15_s,t15_min,t10_s,t10_min,target_t15_min,margin_to_target_s,margin_to_target_min,feasible,T_core_at_t15_C,relative_energy_balance_error
M0_low,M0,low,63.0,W/m2,28.352528404007945,40472.252187424805,674.5375364570801,57279.829933612134,954.6638322268689,734.8149675489651,-3616.645865513099,-60.277431091884985,False,25.910335826586284,9.494015950749023e-07
M0_baseline,M0,baseline,70.0,W/m2,28.352528404007945,44088.89805364736,734.8149675607893,63382.634475055354,1056.3772412509227,734.8149675489651,7.094567990861833e-07,1.1824279984769721e-08,True,26.51169912492529,9.5480875385374e-07
M0_high,M0,high,77.0,W/m2,28.352528404007945,48538.46355161617,808.9743925269362,71171.92120101879,1186.1986866836464,734.8149675489651,4449.565498678268,74.15942497797114,True,27.12326319842567,9.603427241834492e-07
h_in_low,h_in,low,2.7,W/(m2 K),28.352528404007945,50815.866413790354,846.9311068965059,73712.39655012163,1228.539942502027,734.8149675489651,6726.96836085245,112.11613934754084,True,26.164190747745337,9.521938293664144e-07
h_in_baseline,h_in,baseline,3.0,W/(m2 K),28.352528404007945,44088.89805364736,734.8149675607893,63382.634475055354,1056.3772412509227,734.8149675489651,7.094567990861833e-07,1.1824279984769721e-08,True,26.51169912492529,9.5480875385374e-07
h_in_high,h_in,high,3.3,W/(m2 K),28.352528404007945,39236.30063309364,653.938343884894,56086.247228891574,934.7707871481929,734.8149675489651,-4852.597419844264,-80.87662366407106,False,26.836505548838147,9.57281367134285e-07
lambda_out_low,lambda_out,low,0.9,1,28.352528404007945,47497.49136940781,791.6248561567969,68438.7427524593,1140.6457125409881,734.8149675489651,3408.593316469909,56.809888607831816,True,26.34019712757276,7.721222600641347e-07
lambda_out_baseline,lambda_out,baseline,1.0,1,28.352528404007945,44088.89805364736,734.8149675607893,63382.634475055354,1056.3772412509227,734.8149675489651,7.094567990861833e-07,1.1824279984769721e-08,True,26.51169912492529,9.5480875385374e-07
lambda_out_high,lambda_out,high,1.1,1,28.352528404007945,41434.33460366303,690.5722433943839,59486.73239156388,991.445539859398,734.8149675489651,-2654.5634492748723,-44.242724154581204,False,26.662298245757917,1.1570970534037282e-06
beta_DSC_low,beta_DSC,low,9.0,K/min,28.352528404007945,44475.12555714554,741.2520926190923,63768.91262348162,1062.8152103913603,734.8149675489651,386.22750420763623,6.43712507012727,True,26.511749113596448,9.307948303652415e-07
beta_DSC_baseline,beta_DSC,baseline,10.0,K/min,28.352528404007945,44088.89805364736,734.8149675607893,63382.634475055354,1056.3772412509227,734.8149675489651,7.094567990861833e-07,1.1824279984769721e-08,True,26.51169912492529,9.5480875385374e-07
beta_DSC_high,beta_DSC,high,11.0,K/min,28.352528404007945,43772.57127560735,729.5428545934558,63066.26381949942,1051.104396991657,734.8149675489651,-316.32677733055607,-5.272112955509268,False,26.511655813425158,9.753985997791446e-07
tau_bl_60,tau_bl,60 s,60.0,s,28.352528404007945,44094.031166414876,734.9005194402479,63364.93196113933,1056.082199352322,734.8149675489651,5.13311347697163,0.0855518912828605,True,26.511849829554972,9.548331749980566e-07
tau_bl_173,tau_bl,baseline,173.0,s,28.352528404007945,44088.89805364736,734.8149675607893,63382.634475055354,1056.3772412509227,734.8149675489651,7.094567990861833e-07,1.1824279984769721e-08,True,26.51169912492529,9.5480875385374e-07
tau_bl_200,tau_bl,200 s,200.0,s,28.352528404007945,44087.688472615504,734.7948078769251,63386.92705810272,1056.448784301712,734.8149675489651,-1.209580322400143,-0.020159672040002383,False,26.511659595662525,9.548027343898888e-07
Tskin_initial_37,T_skin_initial,baseline,37.0,degC,28.352528404007945,44088.89805364736,734.8149675607893,63382.634475055354,1056.3772412509227,734.8149675489651,7.094567990861833e-07,1.1824279984769721e-08,True,26.51169912492529,9.5480875385374e-07
Tskin_initial_33p7,T_skin_initial,33.7 degC,33.7,degC,28.352528404007945,43329.97300443515,722.1662167405859,62623.22409689077,1043.7204016148462,734.8149675489651,-758.9250485027515,-12.64875080837919,False,26.511220065753182,9.68090100615963e-07
