case_id,parameter,scenario,parameter_value,unit,baseline_value,target_t15_min,lambda_opt,improvement_pct,latent_heat_kJ_kg,total_pcm_latent_heat_kJ,delta_lambda_vs_baseline,delta_lambda_pct,delta_improvement_percentage_points,achieved_t15_s,t15_error_s,t10_s,T_core_at_t15_C,relative_energy_balance_error,feasible,notes
M0_low,M0,low,63.0,W/m2,70.0,734.8149675489651,60.2145439167457,5921.45439167457,7365.014484303575,3360.121519611378,31.862015512737752,112.37803930119229,3186.2015512737753,44088.89805388879,9.508876246400177e-07,60896.885796276474,25.910796788056643,7.538161424408223e-07,True,full reinversion
M0_baseline,M0,baseline,70.0,W/m2,70.0,734.8149675489651,28.352528404007945,2735.2528404007944,3467.8794985288423,1582.14169914531,0.0,0.0,0.0,44088.89805364736,7.094567990861833e-07,63382.634475055354,26.51169912492529,9.5480875385374e-07,True,baseline reused
M0_high,M0,high,77.0,W/m2,70.0,734.8149675489651,1.0,0.0,122.31288332079122,55.80249057864119,-27.352528404007945,-96.47297769796559,-2735.2528404007944,44875.6179993418,786.7199464038931,67508.53558053142,27.122801865823295,1.2396412595021495e-06,True,full reinversion
h_in_low,h_in,low,2.7,W/(m2 K),3.0,734.8149675489651,1.0,0.0,122.31288332079122,55.80249057864119,-27.352528404007945,-96.47297769796559,-2735.2528404007944,47256.29564891832,3167.3975959804156,70152.54072637501,26.163953481759066,1.2260758067266597e-06,True,full reinversion
h_in_baseline,h_in,baseline,3.0,W/(m2 K),3.0,734.8149675489651,28.352528404007945,2735.2528404007944,3467.8794985288423,1582.14169914531,0.0,0.0,0.0,44088.89805364736,7.094567990861833e-07,63382.634475055354,26.51169912492529,9.5480875385374e-07,True,baseline reused
h_in_high,h_in,high,3.3,W/(m2 K),3.0,734.8149675489651,69.79809130696354,6879.809130696354,8537.205798042563,3894.9073325639706,41.4455629029556,146.17942467909427,4144.55629029556,44088.89805326518,3.272725734859705e-07,60939.72131457789,26.837501544272534,7.142171580005409e-07,True,full reinversion
lambda_out_low,lambda_out,low,0.9,1,1.0,734.8149675489651,3.839156017340519,283.9156017340519,469.5782419992844,214.23446748757794,-24.513372386667427,-86.45921110585041,-2451.337238666743,44088.8981471285,9.419059642823413e-05,65029.74742297051,26.339831322468893,9.659201987716253e-07,True,full reinversion
lambda_out_baseline,lambda_out,baseline,1.0,1,1.0,734.8149675489651,28.352528404007945,2735.2528404007944,3467.8794985288423,1582.14169914531,0.0,0.0,0.0,44088.89805364736,7.094567990861833e-07,63382.634475055354,26.51169912492529,9.5480875385374e-07,True,baseline reused
lambda_out_high,lambda_out,high,1.1,1,1.0,734.8149675489651,52.502323912885274,5150.232391288528,6421.710618827122,2929.7604355055487,24.14979550887733,85.17686734938069,2414.979550887733,44088.89806546302,1.2525117199402303e-05,62141.74344587113,26.662770961698275,9.659512761113446e-07,True,full reinversion
beta_DSC_low,beta_DSC,low,9.0,K/min,10.0,734.8149675489651,25.51727554460945,2451.727554460945,3467.879495946994,1582.1416979674,-2.8352528593984943,-10.000000067005312,-283.5252859398494,44088.89805105699,-1.8809150788001716e-06,63382.634472464684,26.511699124924906,9.548087540192267e-07,True,full reinversion
beta_DSC_baseline,beta_DSC,baseline,10.0,K/min,10.0,734.8149675489651,28.352528404007945,2735.2528404007944,3467.8794985288423,1582.14169914531,0.0,0.0,0.0,44088.89805364736,7.094567990861833e-07,63382.634475055354,26.51169912492529,9.5480875385374e-07,True,baseline reused
beta_DSC_high,beta_DSC,high,11.0,K/min,10.0,734.8149675489651,31.18778119916704,3018.7781199167043,3467.8794934982584,1582.1416968502197,2.8352527951590965,9.99999984043152,283.52527951590963,44088.89804859966,-4.338246071711183e-06,63382.63447000698,26.511699124924554,9.548087541761879e-07,True,full reinversion
tau_bl_60,tau_bl,60 s,60.0,s,173.0,734.8149675489651,28.31072666238949,2731.0726662389493,3462.7666069836587,1579.8090578524757,-0.04180174161845329,-0.14743567495216459,-4.180174161845329,44088.89805696132,4.023415385745466e-06,63359.79816967954,26.51184916387805,9.551607436516919e-07,True,full reinversion
tau_bl_173,tau_bl,baseline,173.0,s,173.0,734.8149675489651,28.352528404007945,2735.2528404007944,3467.8794985288423,1582.14169914531,0.0,0.0,0.0,44088.89805364736,7.094567990861833e-07,63382.634475055354,26.51169912492529,9.5480875385374e-07,True,baseline reused
tau_bl_200,tau_bl,200 s,200.0,s,173.0,734.8149675489651,28.362422228630273,2736.242222863027,3469.0896407454693,1582.6937992005842,0.009893824622327685,0.03489574009536688,0.9893824622327685,44088.89805279874,-1.391672412864864e-07,63388.13680447279,26.511659758179782,9.547254903441902e-07,True,full reinversion
Tskin_initial_37,T_skin_initial,baseline,37.0,degC,37.0,734.8149675489651,28.352528404007945,2735.2528404007944,3467.8794985288423,1582.14169914531,0.0,0.0,0.0,44088.89805364736,7.094567990861833e-07,63382.634475055354,26.51169912492529,9.5480875385374e-07,True,baseline reused
Tskin_initial_33p7,T_skin_initial,33.7 degC,33.7,degC,37.0,734.8149675489651,34.48491815285999,3348.491815285999,4217.949770357799,1924.3443203301822,6.132389748852045,21.629075408968333,613.2389748852045,44088.898051668264,-1.2696400517597795e-06,63382.255498705694,26.51132504584776,9.211149820708551e-07,True,full reinversion
